No.,Words / Phrases,Phonetic Symbol,Part of Speech,English Definition,Chinese Translation
1,a people person,,noun informal,a person who enjoys or is particularly good at interacting with others,喜欢社交的人
2,staffroom,"| ˈstɑːfruːm, ˈstɑːfrʊm |",noun mainly British,a common room for teachers in a school or college,教师休息室
3,break time,,,,课间休息
4,relieved,| rɪˈliːvd |,adjective,no longer feeling distressed or anxious; reassured,感到宽慰的
5,keen,| kiːn |,adjective,mainly British having or showing eagerness or enthusiasm,渴望的
,,,verb [no object],wail in grief for a dead person,恸哭
6,a bike ride,,,,骑自行车出行
7,There is no way that…,,,,不行；没门儿
8,keep close to,,,,紧挨
9,insist,| ɪnˈsɪst |,verb [no object],"demand something forcefully, not accepting refusal",坚持要求；坚持主张
10,awkward,| ˈɔːkwəd |,adjective,causing difficulty; hard to do or deal with,使用不便的；难对付的；不方便的
,,,,causing or feeling uneasy embarrassment or inconvenience,令人尴尬的
,,,,not smooth or graceful; ungainly,笨拙的
11,imaginative,| ɪˈmadʒɪnətɪv |,adjective,having or showing creativity or inventiveness,富于想象力的
12,sympathetic,| sɪmpəˈθɛtɪk |,adjective,"feeling, showing, or expressing sympathy",有同情心的
,,,,showing approval of or favour towards an idea or action,赞同的
13,witty,| ˈwɪti |,adjective,showing or characterized by quick and inventive verbal humour,风趣的；妙趣横生的
14,intellectual,| ˌɪntəˈlɛktʃʊəl |,adjective,relating to the intellect,智力的
,,,,possessing a highly developed intellect,智力发达的
15,pushy,| ˈpʊʃi |,adjective,excessively or unpleasantly self-assertive or ambitious,执意强求的
16,shallow,| ˈʃaləʊ |,adjective,of little depth,浅的
,,,,"not exhibiting, requiring, or capable of serious thought",浅薄的；肤浅的
17,pretentious,| prɪˈtɛnʃəs |,adjective,attempting to impress by affecting greater importance or merit than is actually possessed,做作的；自命不凡的；炫耀的；矫饰的
18,smug,| smʌɡ |,adjective,having or showing an excessive pride in oneself or one's achievements,沾沾自喜的
19,bubbly,| ˈbʌbli |,adjective,containing bubbles,充满泡沫的
,,,,(of a person) full of cheerful high spirits,活泼的
20,cheeky,| ˈtʃiːki |,adjective,showing a lack of respect or politeness in a way that is amusing or appealing,放肆的
21,hypocritical,| ˌhɪpəˈkrɪtɪkl |,adjective,behaving in a way that suggests one has higher standards or more noble beliefs than is the case,伪善的
22,scatty,| ˈskati |,adjective British informal,absent-minded and disorganized,思想不集中的
23,scruffy,| ˈskrʌfi |,adjective,shabby and untidy or dirty,不整洁的；破旧的
,,,,"(of a man's face) having short, bristly hairs as a result of not having been shaved for a while",邋遢的
24,excitable,"| ɪkˈsʌɪtəb(ə)l, ɛkˈsʌɪtəb(ə)l |",adjective,responding too readily to something new or stimulating; easily excited,易激动的
25,eccentric,"| ɪkˈsɛntrɪk, ɛkˈsɛntrɪk |",adjective,(of a person or their behaviour) unconventional and slightly strange,古怪的
26,upbeat,| ˈʌpbiːt |,adjective informal,cheerful; optimistic,快乐的；乐观的
,,,noun Music,an unaccented beat preceding an accented beat,弱拍
27,downbeat,| ˈdaʊnbiːt |,adjective,pessimistic or gloomy,忧郁的；悲观的
,,,,relaxed and understated,无热情的
,,,noun Music,"an accented beat, usually the first of the bar",强拍
28,considerate,| kənˈsɪd(ə)rət ,adjective,careful not to inconvenience or harm others:,体贴的；考虑周到的
29,inconsiderate,| ɪnkənˈsɪd(ə)rət |,adjective,thoughtlessly causing hurt or inconvenience to others,不为他人着想的；考虑不周的
30,selfish,| ˈsɛlfɪʃ |,adjective,"of a person, action, or motive) lacking consideration for other people; concerned chiefly with one's own personal profit or pleasure",自私的
31,unselfish,| ʌnˈsɛlfɪʃ |,adjective,willing to put the needs or wishes of others before one's own,无私的
32,approachable,| əˈprəʊtʃəb(ə)l |,adjective,friendly and easy to talk to,和蔼可亲的
,,,,(of a place) able to be reached from a particular direction or by a particular means,可通达的
33,unapproachable,| ʌnəˈprəʊtʃəb(ə)l |,adjective,not welcoming or friendly,难接近的
,,,,archaic (of a place) remote and inaccessible,
34,quality,| ˈkwɒlɪti |,noun,a distinctive attribute or characteristic possessed by someone or something,人品；素质；品德
35,come across as,,,(of a person) appear or sound in a specified way; give a specified impression,留下印象
36,practical jokes,,noun,a trick played on someone in order to make them look foolish and to amuse others,恶作剧
37,(go) round and round,,,,一圈又一圈地
38,go with someone,| ɡəʊ |,verb,be regularly in the company of someone,经常在一起
39,walnut,| ˈwɔːlnʌt |,noun,"the large wrinkled edible seed of a deciduous tree, consisting of two halves contained within a hard shell which is enclosed in a green fruit",核桃
,,,,"(also walnut tree) the tall tree which produces walnuts, with compound leaves and valuable ornamental timber that is used chiefly in cabinetmaking and gun stocks",核桃木
40,Got you!,,,,明白！
41,excuse someone,"| ɪkˈskjuːz, ɛkˈskjuːz |",verb [with object],release (someone) from a duty or requirement,离开
,excuse oneself,,,say politely that one is leaving,
42,almond,| ˈɑːmənd |,noun,"the oval edible nutlike seed (kernel) of the almond tree, growing in a woody shell, widely used as food",杏仁
,,,,"also almond tree) the tree that produces almonds, related to the peach and plum. Native to western Asia, it is widely cultivated in warm climates",扁桃树
43,install,| ɪnˈstɔːl |,verb [with object],place or fix (equipment or machinery) in position ready for use,安装
,,,,"place (someone) in a new position of authority, especially with ceremony",正式任命
,,,,establish (someone) in a new place or condition,安置
44,play tricks on,,,,捉弄；戏耍
45,wireless,| ˈwʌɪəlɪs |,adjective,"using radio, microwaves, etc. (as opposed to wires or cables) to transmit signals",无线的
46,palm,| pɑːm |,noun,"(also palm tree) an unbranched evergreen tree of tropical and warm regions, with a crown of very long feathered or fan-shaped leaves, and typically having old leaf scars forming a regular pattern on the trunk",棕榈树
,,,,the inner surface of the hand between the wrist and fingers,手掌
47,unplug,| ʌnˈplʌɡ |,verb [with object],disconnect (an electrical device) by removing its plug from a socket,拔去…的电源插头
48,cursor,| ˈkəːsə |,noun,a movable indicator on a computer screen identifying the point that will be affected by input from the user,光标
49,insurance number,,,,保险号码
50,in the way (also in someone’s way),,,forming an obstacle or hindrance to movement or action,妨碍；挡…的路
51,just for once,,,,仅此一次
52,let someone or something go,,,allow someone or something to escape or go free,松手；放开；让…离开
,,,,(also let go or let go of) relinquish one's grip on someone or something,放弃
53,sort out,| sɔːt |,verb [with object],arrange things systematically in groups or according to type,整理；安排
,,,,resolve a problem or difficulty,纠正；解决
54,give and take,| ˌɡɪv ən ˈteɪk |,noun [mass noun],mutual concessions and compromises,互相迁就
,,,verb [no object],make concessions and compromises,
55,get on one’s nerves,,,,使心神不宁；烦扰
56,be off to/with,,,go away; leave,前往
57,mind out,| mʌɪnd |,verb [no object],"used to tell someone to move or be careful, or to warn someone of danger",当心
58,impossible,| ɪmˈpɒsɪb(ə)l |,adjective,very difficult to deal with,难对付的
59,find fault with,,,"make an adverse criticism or objection, sometimes unfairly",挑错
60,come round,| kʌm |,verb,visit someone's house,拜访
,,,,(also come around) be converted to another person's opinion,改变看法
,,,,(also come around) be converted to another person's opinion,（再次）来临
61,self-centred,| ˌsɛlfˈsɛntəd |,adjective,preoccupied with oneself and one's affairs,自我中心的
62,step in,| stɛp |,verb,"become involved in a difficult situation, especially in order to help",介入
63,disorganized,| dɪsˈɔːɡənʌɪzd |,adjective,not properly planned and controlled,杂乱无章的；缺乏条理的
64,cheerful,"| ˈtʃɪəfʊl, ˈtʃɪəf(ə)l |",adjective,noticeably happy and optimistic,高兴的；令人愉快的
65,wavy,| ˈweɪvi |,adjective,having a form or edge that smoothly curves in and out,波浪形的
66,plump,| plʌmp |,adjective,having a full rounded shape,丰满的
67,a physical description,,,,外形描述
68,leave out,| liːv |,verb, fail to include someone or something,忽略；遗漏
69,illustrate,| ˈɪləstreɪt |,verb,"explain or make (something) clear by using examples, charts, pictures, etc.",举例说明
70,gorgeous,| ˈɡɔːdʒəs |,adjective,beautiful; very attractive,非常漂亮的
,,,,informal very pleasant or enjoyable,令人愉快的
71,catch one’s attention,,,,引起某人的注意
72,exaggerate,"| ɪɡˈzadʒəreɪt, ɛɡˈzadʒəreɪt |",verb [with object],"represent (something) as being larger, better, or worse than it really is",夸大
73,loads of,,,,大量
